央视移动,#genre#
动漫秀场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227071/1.m3u8

金鹰卡通,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227018/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226959/1.m3u8

哈哈炫动,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225872/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227177/1.m3u8

卡酷少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225871/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226963/1.m3u8

嘉佳卡通,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227230/1.m3u8

优漫卡通,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225874/1.m3u8

山东教育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225873/1.m3u8

黑莓电竞,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225894/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226676/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226680/1.m3u8
